time,ax,ay,az,gx,gy,gz,accmagnitude,gccmagnitude
0,-9.02546086017812,-256.1151217595666,8.008160201851938,-22.657808013410843,78.78102788792046,-7.2125012873527465,256.3994147996627,82.2529591970795
1,-9.084422810853997,-256.04069475743444,8.071119012048847,-22.56480599235454,78.5268060136759,-6.854455010743971,256.33173039152524,81.96335599147304
2,-9.146298120248819,-255.95969133284083,8.138647356878135,-22.469807019163376,78.24925983391121,-6.493056273869018,256.2576982133286,81.65151804726734
3,-9.210401613457107,-255.87412552687516,8.209824321591483,-22.372993426080665,77.94781096198206,-6.131301025433065,256.1792291316926,81.3171827807853
4,-9.275976915194724,-255.78602935473296,8.283634725281301,-22.274871129148607,77.62198900635774,-5.772102627920435,256.0982493442224,80.96026704981907
5,-9.342204294574012,-255.69740567044968,8.358986693191817,-22.17629709146662,77.27146089932957,-5.418237001639261,256.01665551407524,80.58089722609398
6,-9.408211673808315,-255.61018556987054,8.434727931938214,-22.0784889456472,76.89606341254003,-5.0722951558632685,255.9362742950867,80.1794376905489
7,-9.473089289106344,-255.52619128739468,8.509660380134449,-21.983014475743786,76.49583795093318,-4.736644505639329,255.85882715453573,79.7565163821523
8,-9.535908164063674,-255.4471050355854,8.582553467718698,-21.891759506309008,76.07106640921981,-4.413399801730267,255.78590092733975,79.31304595109624
9,-9.59574196777612,-255.37444385274506,8.652156713296057,-21.80687371420876,75.62230654503267,-4.104403887275739,255.7189241775183,78.85023899882104
10,-9.65169123936393,-255.30954029979932,8.71721254471957,-21.73069495664656,75.15042505056167,-3.8112179352648052,255.65914922634323,78.36961590900617
11,-9.702908635921728,-255.25352877873553,8.77646999859205,-21.665653901435615,74.65662630181387,-3.5351203826888047,255.6076396287752,77.87300390205016
12,-9.748623857331278,-255.20733726679225,8.828699624241276,-21.61416200852151,74.14247459672879,-3.2771134660118197,255.56526289179885,77.36252613379631
13,-9.788167109615184,-255.17168426674195,8.872709756125213,-21.57848710869747,73.60990752348903,-3.0379360259942687,255.53268823398307,76.84057982814807
14,-9.820990285510709,-255.14708067278747,8.907364308138018,-21.5606217617083,73.06123794297486,-2.818081021733847,255.51038909309054,76.30980253499416
15,-9.846685394863359,-255.1338360228648,8.931602172665382,-21.562150104547996,72.49914202674171,-2.617815957408399,255.49864986871495,75.77302569358048
16,-9.865000033430787,-255.13206831707242,8.944458011318332,-21.584119015197533,71.92663101151176,-2.437204237190173,255.4975760947343,75.2332149000197
17,-9.875849703615568,-255.141716361516,8.945083735571416,-21.626919233634002,71.34700490219002,-2.2761254157637625,255.50710699998788,74.69339675051276
18,-9.879326663225111,-255.1625535695666,8.93276951390787,-21.690181735413056,70.7637872528636,-2.13429246874718,255.5270293667549,74.15657287726572
19,-9.875704897582853,-255.19420232446993,8.906962946920958,-21.77269421438725,70.18064128102502,-2.011264572085673,255.5569917576432,73.62562273842941
20,-9.865440869858524,-255.23614827113047,8.867285187729017,-21.872341995659724,69.60126882369035,-1.9064544036125874,255.59651845031686,73.10319776713808
21,-9.849169801118133,-255.28775415639532,8.813543121175243,-21.986077013019894,69.02929492472828,-1.8191295958070495,255.64502268312555,72.59161051422791
22,-9.827697292960323,-255.3482730426847,8.745737068017602,-22.109917582066107,68.46814200174865,-1.7484086073121468,255.7018190306542,72.09272327128554
23,-9.801986169636894,-255.4168608812217,8.66406373252249,-22.238980574072055,67.92089840901112,-1.6932518731608297,255.76613489638365,71.60784116708844
24,-9.77313851659718,-255.49258852985344,8.568914256940035,-22.36754634920933,67.39018671502224,-1.6524495800931467,255.8371212130785,71.137614843114
25,-9.742373023289153,-255.57445331085106,8.460867383687082,-22.48915560235964,66.87803720301234,-1.6246077563963817,255.91386245811375,70.68195762550256
26,-9.710997914942856,-255.6613901772655,8.34067795217849,-22.59673620558053,66.38577206368406,-1.608134550331651,255.99538607589932,70.2399817294023
27,-9.680379991330776,-255.75228261891598,8.209261233124835,-22.68275716428901,65.91390552453588,-1.601228600457491,256.08067147799574,69.80995749062973
28,-9.651910534183061,-255.8459736471121,8.067673802764952,-22.739405823581883,65.46206476622956,-1.6018713005930907,256.1686590127962,69.38929890693127
29,-9.626969051150741,-255.9412774586862,7.917091715596805,-22.758783366636017,65.02893593070998,-1.6078245784877376,256.2582595645674,68.97457787822367
30,-9.60688599169322,-256.0369925383977,7.758786646809676,-22.73311246341661,64.61223884004305,-1.6166355877892817,256.34836560075,68.56156848528896
31,-9.592905681060612,-256.1319168979848,7.5941004607572955,-22.654949872201016,64.20873322216025,-1.6256494835468047,256.4378644211609,68.14532151310904
32,-9.58615071443856,-256.22486586609404,7.424418386523785,-22.51739618595044,63.81425827710635,-1.6320312094785585,256.5256540688757,67.7202683093444
33,-9.587588927124528,-256.31469245022066,7.25114078468886,-22.314294935066798,63.42380632742519,-1.6327969421704913,256.6106619576718,67.28035204561883
34,-9.598003871274718,-256.4003098954579,7.075653509092628,-22.040413821374912,63.031630132025924,-1.6248554798599235,256.6918658671292,66.81918354389238
35,-9.61796951984268,-256.48071566705045,6.899297132615555,-21.691601705188585,62.631382276159584,-1.6050594314932793,256.7683165578757,66.33021802262762
36,-9.647829675272224,-256.5550156793146,6.723335664055281,-21.264915883181036,62.216283920599196,-1.5702655961135366,256.83916085599685,65.80694836979839
37,-9.687682316615119,-256.6224472777808,6.54892560290159,-20.758715168514293,61.77931911570441,-1.5174034563969236,256.9036637367392,65.24310987303565
38,-9.737368945780245,-256.68239936637923,6.37708620068681,-20.17271549857457,61.31344990579246,-1.4435502289576108,256.96122781585046,64.63289084170468
39,-9.796468926341637,-256.73442814874295,6.208671776524967,-19.508006442346144,60.81184663409465,-1.3460103899563556,257.0114087294195,63.97114337658834
40,-9.864298826911,-256.77826715532353,6.044346979260174,-18.767029040692073,60.26812724367022,-1.2223970582292116,257.0539250851969,63.25358870321231
41,-9.939916837690264,-256.8138305967968,5.884565922251854,-17.95351758246267,59.67659896028037,-1.0707121779072535,257.0886620367447,62.477011870938114
42,-10.02213235803496,-256.8412097073098,5.729556057371018,-17.07240973831314,59.03249555167681,-0.8894222268458274,257.1156681497646,61.639441073750184
43,-10.109520789411967,-256.86066254633766,5.5793075761144895,-16.129730574125354,58.33220338996827,-0.677526265581488,257.13514602535696,60.74030725343275
44,-10.200443389698128,-256.872598494569,5.433569141206998,-15.132456231006254,57.57346976967699,-0.4346135318901478,257.1474379000916,59.78057995354469
45,-10.293071805901379,-256.877559201376,5.291850799679967,-14.088362608586593,56.75558729785718,-0.16090840042152518,257.1530079538275,58.76287561124986
46,-10.385416736107857,-256.87619789106043,5.15343479158639,-13.005863477446015,55.879548615589066,0.14269875176503471,257.15242319710734,57.69153463697284
47,-10.475360240748985,-256.86925869600935,5.017394576350822,-11.89384139216433,54.948166183768386,0.4746355228537526,257.1463345701812,56.57266377942564
48,-10.560691579868427,-256.8575571879704,4.88262197337772,-10.761473887504867,53.96615236974704,0.8326464548554107,257.1354594019886,55.41414047729098
49,-10.639146887360303,-256.84196271044283,4.747862061055725,-9.618056910602505,52.940155703235696,1.2138066869365314,257.1205658300586,54.22557629587168
50,-10.708453125556137,-256.8233825869438,4.611755259175945,-8.472827291938913,51.87875008365622,1.6145496300587967,257.10245926383527,53.01823729017564
51,-10.766376390406183,-256.8027478290463,4.472885528521532,-7.334786208569597,50.7923749781872,2.030707666674118,257.0819705088817,51.804920266538794
52,-10.810773934270564,-256.7809996405312,4.329832832538351,-6.2125260124023685,49.693226141852996,2.457564592170787,257.0599448097481,50.59978531781013
53,-10.839648595852687,-256.75907587743336,4.181227266960485,-5.114063542959973,48.59509793090033,2.889918378337073,257.0372308998747,49.41814650907907
54,-10.85120389339869,-256.73789671169123,4.025801954313677,-4.046684129065496,47.51317972942778,3.3221529123812035,257.0146692144808,48.27622405945296
55,-10.843897865453519,-256.71834903722015,3.862442034259989,-3.016801676570291,46.46381030194325,3.748317579126735,256.9930787097262,47.19086270285946
56,-10.816493777901112,-256.7012695989578,3.6902277047876733,-2.029841036373313,45.46419498128235,4.162213747548859,256.9732421835549,46.17922201576856
57,-10.768105988902565,-256.68742734719797,3.5084699939128696,-1.0901487085145196,44.53209145853874,4.5574872511412545,256.9558905331876,45.25844529009871
58,-10.698239466305608,-256.67750602097544,3.316738485284024,-0.20093664955662247,43.685470535136055,4.927725783965145,256.94168690128555,44.445313999485876
59,-10.606821564070248,-256.6720882917288,3.1148804822795397,0.6357381972815119,42.94215855848166,5.266559853965575,256.9312119967415,43.755895134374065
60,-10.49422467354599,-256.6716427832367,2.903031183090227,1.4189584195718918,42.31946849058228,5.567765658788366,256.9249518599425,43.20518878773518
61,-10.361278421107093,-256.6765148702629,2.6816144942653573,2.148896522680596,41.83382677965917,5.825368061942961,256.9232889299093,42.806783475139106
62,-10.20927033346811,-256.68692146570055,2.4513341962766098,2.826734400380797,41.50040347286224,6.03374179052976,256.9264965888324,42.5725268105525
63,-10.039934305647726,-256.7029492372179,2.213155342626638,3.454555757868733,41.33275324959093,6.18770905577631,256.93473660986825,42.51221925536967
