time,ax,ay,az,gx,gy,gz,accmagnitude,gccmagnitude
0,31.85262373680644,-257.62729527219886,-50.16736280594604,-141.10612652959512,-57.22389046128821,-3.640144058996732,264.40098047098905,152.41641285278345
1,31.905857408325666,-257.80843923889796,-50.71134934778395,-141.22191650260908,-59.19927329913048,-3.2693403333955033,264.69522736609196,153.38538591639792
2,31.96326716916592,-257.9990536145325,-51.231161738805675,-141.4356925182653,-61.1790094172633,-2.891114543333258,264.99389124237,154.4413119065977
3,32.02687836098103,-258.19694482567877,-51.72551086048292,-141.75227239970118,-63.15322274584387,-2.5067589351543917,265.29486548922426,155.5840805631813
4,32.09857801082867,-258.40008811871485,-52.19350107436348,-142.17509257245635,-65.11205665687429,-2.1172735608133415,265.59627334558473,156.81239139339857
5,32.18004632757498,-258.6066930881884,-52.634636268250375,-142.70599988679322,-67.04572670365091,-1.7233348072437606,265.8965233284697,158.12359570888538
6,32.27269572612625,-258.8152554882611,-53.04881640103598,-143.34501796561528,-68.94456971501275,-1.3252839878179727,266.19435035328695,159.51351455765158
7,32.37761906583165,-259.0245931310689,-53.43632467289598,-144.09009234460322,-70.79909028839634,-0.9231377191121626,266.48884067808933,160.97623677075558
8,32.495548376227156,-259.2338644348365,-53.7978059719813,-144.9368239430039,-72.60000540151374,-0.5166204684719339,266.779439595911,162.50390589608955
9,32.62682504461085,-259.4425689501879,-54.134237598166344,-145.87820522802585,-74.33828728283284,-0.1052183389331679,267.0659415717152,164.08650881103506
10,32.771382142740435,-259.65053001450264,-54.446893512124575,-146.90437719608755,-76.0052040253399,0.3117479829453071,267.3484633249443,165.71168181003574
11,32.928739265319074,-259.85786058302773,-54.73730341677751,-148.00242747131756,-77.59235696314266,0.7350341021435874,267.6274011989282,167.36455161102737
12,33.09800992141117,-260.06491419396735,-55.00720782824634,-149.15625008254722,-79.09171377807955,1.165370318677464,267.9033749630936,169.02762884026717
13,33.2779211198317,-260.2722238208637,-55.25851012077908,-150.3464857840813,-80.49563674011421,1.6033518383751513,268.17716087727104,170.680770169991
14,33.46684434988362,-260.48043193461507,-55.493226526108536,-151.55055842873296,-81.7969063258164,2.0493255033621427,268.4496173393702,172.30122264954483
15,33.66283676027609,-260.690215379257,-55.71343519793393,-152.7428184512421,-82.98874152898654,2.503278025566876,268.7216066816285,173.86376032117911
16,33.86369102734013,-260.90220866608325,-55.921225561001066,-153.89479963057974,-84.06481930039891,2.9647307768155318,268.9939166575988,175.34091943722873
17,34.06699218372232,-261.1169290641268,-56.118649251186575,-154.97559047929965,-85.01929656681466,3.432646023542237,269.26718492929234,176.70333485459477
18,34.27017951786555,-261.33470651119563,-56.30767414352304,-155.95231710465265,-85.84683898586574,3.905349098755825,269.5418295424418,177.92017658724677
19,34.47061147367518,-261.5556210204547,-56.49014319698648,-156.79073027135723,-86.54266076189697,4.38047043619057,269.81798807040394,178.95968199222762
20,34.66563126234635,-261.7794500004867,-56.667739844615156,-157.45588571083115,-87.10257930838902,4.854910703367997,270.09546783479084,179.7897756008903
21,34.85263078188307,-262.00562771881675,-56.84196129513279,-157.91290349240722,-87.52308728044973,5.324831457940163,270.3737093388763,180.3787652020116
22,35.02911057752062,-262.2332189203706,-57.01410053663854,-158.12778941466067,-87.80144265051506,5.785672791548037,270.6517647332268,180.6960994309447
23,35.192733972058996,-262.46090826209877,-57.185237214423914,-158.0682986724824,-87.93577526579642,6.232198334534555,270.928292712547,180.71316872783274
24,35.34137404801461,-262.68700669349454,-57.3562369175666,-157.70481928028332,-87.92520590381436,6.658566835550991,271.20157066426145,180.40412799157318
25,35.473152755789094,-262.90947523601056,-57.52775775397957,-157.01124980283612,-87.76997141286432,7.0584283941432755,271.4695241728651,179.7467155889726
26,35.58647191781218,-263.12596589360885,-57.70026252642977,-155.9658430122018,-87.47154731585543,7.4250424258653585,271.7297732307738,178.7230398211495
27,35.680036201046214,-263.33387875174304,-57.87403451829422,-154.55198455019075,-87.03275757423292,7.751413669327509,271.9796938273242,177.32030099771112
28,35.75286828758132,-263.53043370253437,-58.049194984204156,-152.758874150426,-86.45786036539879,8.030442013576115,272.2164930265103,175.53141561424718
29,35.80431660783,-263.71275458734755,-58.225720858241004,-150.5820771590902,-85.75259895138163,8.255081586519191,272.4372951262605,173.3555094868002
30,35.834056128721684,-263.8779627884307,-58.40346169341233,-148.0239164963049,-84.92420809725118,8.418504376582966,272.63923588326264,170.79824955111252
31,35.84208274550468,-264.02327647915297,-58.58215521985496,-145.09367994422072,-83.98136894303484,8.51426367561155,272.81956108105675,167.8719894447165
32,35.828701850356275,-264.1461110709805,-58.76144115364617,-141.80762450290595,-82.93410849019749,8.536452834302569,272.97572512545435,164.59571162843793
33,35.79451176377972,-264.2441761096467,-58.94087310287427,-138.1887680860826,-81.79364360044059,8.479855170799578,273.1054851347876,160.9947581233967
34,35.74038291054292,-264.3155640691985,-59.11992864205118,-134.26646848940706,-80.57217326175325,8.340081298632015,273.2069862543178,157.10035228159862
35,35.66743376745187,-264.3588270986751,-59.29801783469954,-130.07579969858483,-79.28262648333147,8.113690576042076,273.2788345720067,152.94892461227826
36,35.57700463844353,-264.37303863560504,-59.474490659161226,-125.65674544243757,-77.93837619044487,7.7982937890374595,273.32015488292143,148.58126570366403
37,35.47063028111054,-264.357837750283,-59.648643947573945,-121.05323863432959,-76.55293164736712,7.392634565199338,273.3306314947966,144.04153787992098
38,35.350012363522275,-264.31345497286674,-59.81972853855943,-116.31208230003327,-75.13962312416132,6.896647403870389,273.31053113819564,139.37618375848652
39,35.216992597138926,-264.2407190596688,-59.98695718980452,-111.48179230850486,-73.71129274336268,6.311490659586235,273.2607076769194,134.6327739315828
40,35.07352705801666,-264.14104465836266,-60.14951327733152,-106.6114045429343,-72.28000475867343,5.639553394990993,273.1825886521744,129.8588374837277
41,34.921661700925775,-264.0164012554421,-60.306559663181496,-101.74928923398537,-70.85678703652509,4.884435748784365,273.07814390787115,125.10071817369958
42,34.76350858463574,-263.8692642705159,-60.457246801399926,-96.94201342541854,-69.4514134097742,4.050903303468031,272.94983688694896,120.40249629625085
43,34.60122204566121,-263.70254970988395,-60.600719391450056,-92.233289377725,-68.0722340952733,3.144816816900588,272.80055973717543,115.8050119963245
44,34.43697400524801,-263.51953432795284,-60.7361215198176,-87.66304242712076,-66.72605876237427,2.1730395316192697,272.6335540138115,111.34502053110035
