time,ax,ay,az,gx,gy,gz,accmagnitude,gccmagnitude
0,-104.45224599432028,-154.40970229407415,-162.35177202372782,345.19973063497577,-211.44756623621421,-95.77039315412806,246.42518695815994,415.52249784007165
1,-96.76237217297967,-157.42983676711845,-165.99238627641512,368.9152685499817,-222.90229908888244,-53.86247673551344,249.2428448774579,448.97369070893916
2,-89.03332916794555,-160.4326462262156,-169.6541795377233,392.70723470247964,-234.4345556699024,-12.13530475561098,252.08500111410476,482.50889844963586
3,-81.30063990147517,-163.38556227991856,-173.31056839844447,416.5360911472728,-245.89636166912223,29.123545710607303,254.92535906877148,515.9876346067916
4,-73.60022323482795,-166.25697550357043,-176.9349679354582,440.35675368248144,-257.1382555462976,69.63072481550658,257.73764916597133,549.2634585140692
5,-65.96817309796307,-169.01684855823328,-180.5011786706498,464.1166925529367,-268.01206703789006,109.1108824101936,260.4960626747325,582.1838146418129
6,-58.4405124759466,-171.6372707788512,-183.98374460972917,487.7544231758027,-278.37345712698993,147.30026408301592,263.1756461759989,614.5901474132338
7,-51.05291860607014,-174.09293782915015,-187.35827437632892,511.1984856946944,-288.0841507416777,183.95006802233465,265.75264628322014,646.318351429679
8,-43.8404179340373,-176.36154259593192,-190.6017205807937,534.3669755482168,-297.0138249107987,218.82950640957196,268.20479734465954,677.1995965279185
9,-36.837051362345015,-178.4240668279642,-193.69261594252905,557.1676477016682,-305.0416447667915,251.72852204383665,270.51154834580757,707.0615429345552
10,-30.075512377903635,-180.26496724418837,-196.61126774436664,579.4985786868465,-312.05746465445833,282.4601178136599,272.6542289325039,735.729935691273
11,-23.58676307561137,-181.87225481208162,-199.33991439004927,601.249336140652,-317.9627300671159,310.8622632754699,274.61615806477965,763.0305414513454
12,-17.399635934514862,-183.23747116468599,-201.86284889693476,622.3025771937506,-322.6711278173044,336.7993493049608,276.38270186068405,788.7913668563021
13,-11.540432088038537,-184.35557116724414,-204.16651415984458,642.5359761806483,-326.1090371337369,360.16316919103593,277.9412893930942,812.8450781031374
14,-6.032529183363505,-185.22472512425767,-206.23957403888264,661.8243695204635,-328.21583375418084,380.8734132923764,279.2813964842993,835.0315276796496
15,-0.896013308336205,-185.84605782890924,-208.07296306917854,680.0420017219217,-328.9440929163679,398.87767490461215,280.39450798348963,855.2002876991368
16,3.8526502663216813,-186.22334435498894,-209.6599161819631,697.0647616363626,-328.2597259939089,414.1509772534089,281.2740687252663,873.2130905255948
17,8.200893536759574,-186.36268382561104,-210.9959785299348,712.7723123653619,-326.14207061046426,426.69484487268693,281.9154323831362,888.9460867307456
18,12.140256956101517,-186.2721720274774,-212.0789944645503,727.0500407801634,-322.58393739100995,436.53595594553497,282.3158156950256,902.291847337328
19,15.666524994986363,-185.96159159735686,-212.90907402725148,739.790781143709,-317.59160049297583,443.7244243768448,282.47426313442,913.1610600827445
20,18.779778264930457,-185.44213489625395,-213.48853519604882,750.8962981598881,-311.1847059428217,448.33177065173265,282.3916244339572,921.4838952441618
21,21.48435753029911,-184.72617012954518,-213.82182072292142,760.278543530232,-303.39606310640846,450.4486484904892,282.07054491989896,927.2110418980219
22,23.7887385929429,-183.82705625301335,-213.91538956663575,767.8607227031607,-294.2712810306969,450.1823997403095,281.51546658561654,930.3144369505754
23,25.705320867358715,-182.7590071358284,-213.777584305081,773.5782220690096,-283.8682130463722,447.6545127163187,280.73263615356507,930.7877243427693
24,27.25013598144902,-181.53700073270278,-213.41847717080162,777.3794501519975,-272.25617971248903,442.9980591720648,279.7301149725419,928.6464892243073
25,28.44248559352262,-180.1767250034821,-212.84969835399374,779.2266397288026,-259.51495129177727,436.3551820841766,278.5177845184165,923.928311465261
26,29.304519748955876,-178.69454932675322,-212.08425099398468,779.0966427707285,-245.73348533392803,427.8747003822828,277.1073406993739,916.692675259997
27,29.860768631128916,-177.10750853356615,-211.13631789463997,776.9817289322485,-231.00843109254788,417.7098877112858,275.512270362997,907.0207579626052
28,30.137641579681762,-175.4332866650795,-210.0210653721386,772.8903738323266,-215.44242877403497,406.01647057978676,273.7478044312955,895.0151034323305
29,30.16290769667087,-173.69018895902676,-208.75444959897547,766.8479988189921,-199.1422465484965,392.9508773790127,271.83084367634655,880.7991654029229
30,29.965172120029433,-171.89709285570316,-207.35303030180145,758.897602512126,-182.21681078180785,378.6687545388362,269.7798548791547,864.5166874550913
31,29.57336110177867,-170.07337143520797,-205.8337958227012,749.1002089985379,-164.77519450886498,363.32375051866995,267.6147367020484,846.3308708421537
32,29.016227534615492,-168.23878535686393,-204.21400243973324,737.535050151073,-146.92463552585343,347.0665536050245,265.3566559146486,826.4232721239946
33,28.321886763549493,-166.4133420212187,-202.51102946535826,724.2994012444595,-128.76865836812541,330.0441569385317,263.0278556284993,804.9923710355838
34,27.517390647933244,-164.61712332905518,-200.7422501191012,709.5079999462305,-110.40537335228031,312.399315078127,260.65143803008937,782.2517560668913
35,26.628346109182903,-162.87008593607922,-198.924916740532,693.291998057683,-91.9260202393252,294.2701515705233,258.25112486065393,758.4278906748226
36,25.678582921822056,-161.1918400016297,-197.07605770981775,675.7974213732958,-73.41381375641667,275.78987663729333,255.8509994950638,733.7574456822356
37,24.689874267532243,-159.60141385264694,-195.21238248348004,657.1831432286697,-54.94313375336203,257.08657781056655,253.47523476626193,708.4842111095268
38,23.681712430245785,-158.11701265598975,-193.35019051042084,637.6184087953826,-36.57908547352669,238.28305321207574,251.14781067417684,682.8556306789529
39,22.671140747270062,-156.75577915495901,-191.50527965981226,617.2799771815615,-18.377437130934013,219.49666581203385,248.89222597450117,657.1190316654562
40,21.67264143669279,-155.53356386425278,-189.6928502786992,596.3489747311821,-0.3849246823565981,200.83920585827275,246.7312075023832,631.517649137186
41,20.69807732227385,-154.46471099600043,-187.92740200731564,575.0075740229607,17.360101078091514,182.41675644205617,244.68642099866148,606.2865649973817
42,19.7566840350898,-153.5618650878447,-186.222621769461,553.4356275711872,34.826721522683634,164.32956324097637,242.77818718749572,581.6486970007156
43,18.855108234032205,-152.8358021266474,-184.59126267173656,531.8073914464956,51.99023627689951,146.67191386466578,241.02520692543945,557.8109793728265
44,17.997486963252534,-152.29528808313574,-183.04501475044464,510.2884702090686,68.83073959308508,129.53203523840872,239.44429942798422,534.9608731415987
45,17.185563569397317,-151.94696718216215,-181.59436953989876,489.03309991127304,85.3315426134137,112.99201939387524,238.05015784456955,513.2633300668832
46,16.41883654397658,-151.79528178888683,-180.24848119731936,468.1818616299348,101.47749997343331,97.12778903008784,236.85512662906646,492.85831019492383
47,15.694738917713973,-151.8424253021409,-179.01502730212644,447.8598870221226,117.25330063386961,82.00911421071844,235.86900501979895,473.8589223541356
48,15.008846958480524,-152.08832877418928,-177.9000725241697,428.1755837937338,132.64178293896208,67.69969043609383,235.0988804393629,456.3502231467956
49,14.355117491270157,-152.5306811275023,-176.9079383910049,409.2198769663553,147.62233275592885,54.257285916802154,234.54899493031323,440.388677237862
50,13.726152993886844,-153.16498192911715,-176.04108265479985,391.06593524795517,162.16942129920068,41.73396195028967,234.2206471380423,426.0022537410281
51,13.113492878007772,-153.98462484371206,-175.29999241736095,373.7693335458551,176.25133618984682,30.176364589558418,234.11213205815469,413.19111317648685
52,12.50792833589802,-154.9810092614177,-174.68309619667042,357.36859415181624,189.82915583374722,19.62607830482636,234.21872088677497,401.9288284246152
53,11.899836959743489,-156.14367729937706,-174.18670127770477,341.8860499682541,202.85601347266584,10.120023623064974,234.53268375863172,392.16408110121233
54,11.2795319717215,-157.46047333854338,-173.8049636050567,327.32898101368465,215.2766928326019,1.6908717406070273,235.043358596901,383.8227795755792
55,10.637619388609652,-158.91772323493447,-173.5298977731026,313.6909866410282,227.02759129655539,-5.632559039282127,235.73726929711387,376.81055268071975
56,9.965355085631252,-160.5004301759647,-173.35143406817173,300.95356634543737,238.03707831217446,-11.824966296155482,236.59829573000454,371.015579974995
57,9.254992761242107,-162.19248390948,-173.25752791143367,289.087888354989,248.22626612488273,-16.864330054055053,237.60789656469777,366.31172200882503
